Títol,Autor,Prestatge,Posicio,Habitacio,Tipus,Editorial,Idioma,Notes,
Novelas ejemplares I,MIguel de Cervantes,3,2,Despatx,Novel·la,Castalia,Castellà,,
El Ingenioso hidalgo don Quijote de la mancha II,MIguel de Cervantes,3,2,Despatx,Novel·la,Castalia,Castellà,,
El Ingenioso hidalgo don Quijote de la mancha I,MIguel de Cervantes,3,2,Despatx,Novel·la,Castalia,Castellà,,
Novelas ejemplares III,MIguel de Cervantes,3,2,Despatx,Novel·la,Castalia,Castellà,,
Sonetos Completos,Luis de Góngora,3,2,Despatx,Poesia,Castalia,Castellà,Edició de Birute Ciplijauskaité,
Posía de la edad de oro II,Recopilació ,3,2,Despatx,Poesia,Castalia,Castellà,Barroco (edició José Manuel Blecua),
Letrillas,Luis de Góngora,3,2,Despatx,Poesia,Castalia,Castellà,Edició de Robert Jammes),
Sueños y discursos,Francisco de Quevedo y Villegas,3,2,Despatx,Novel·la,Castalia,Castellà,Edició de James O. Crosby,
Áyax,Sófocles,3,2,Despatx,Teatre,Gredos,Castellà,,
Las Traquinias,Sófocles,3,2,Despatx,Teatre,Gredos,Castellà,,
Antígona,Sófocles,3,2,Despatx,Teatre,Gredos,Castellà,,
Edipo Rey,Sófocles,3,2,Despatx,Teatre,Gredos,Castellà,,
Electra,Sófocles,3,2,Despatx,Teatre,Gredos,Castellà,,
Filoctetes,Sófocles,3,2,Despatx,Teatre,Gredos,Castellà,,
Edipo en colono,Sófocles,3,2,Despatx,Teatre,Gredos,Castellà,,
Fedón,Plató,3,2,Despatx,Diàlegs,Gredos,Castellà,,
El Banquete,Plató,3,2,Despatx,Diàlegs,Gredos,Castellà,,
Fedro,Plató,3,2,Despatx,Diàlegs,Gredos,Castellà,,
La camisa,Lauro Olmo,3,2,Despatx,Novel·la,Catedra,Castellà,,
El cuarto poder,Lauro Olmo,3,2,Despatx,Novel·la,Catedra,Castellà,,
Seis personajes en busca de autor,Luigi Pirandello,3,2,Despatx,Teatre,Edaf,Castellà,,
Epigramas,Marcial,3,2,Despatx,Epigràmes,Alianza Editorial,Castellà,,
Breviario de campaña electoral,Quinto Tulio Ciceron,3,2,Despatx,didàctic,Quaderns Crema,Castellà,,
F. García Lorca. El poeta ante la muerte,Enrique López Castellón,3,2,Despatx,didàctic,Felmar,Castellà,,
El Cid Campeador,Anònim,3,2,Despatx,Poesia,Castalia,Castellà,,
Els fruits Saborosos,Josep Carner,3,2,Despatx,Poesia,Edicions 62,Català,,
Cárcel de Amor,Diego de san pedro,3,2,Despatx,Novel·la,Crítica,Castellà,,
Libro del buen amor,Arcipreste de Hita,3,2,Despatx,Poesia,Castalia,Castellà,Llibre repetit (odres nuevos),
El conde lucanor,Don Juan Manuel,3,2,Despatx,Poesia,Castalia,Castellà,Llibre repetit (odres nuevos),
Ancia,Blas de Otero,3,2,Despatx,Poesia,Visor,Castellà,,
Diccionariu básicu de la Llingua Asturiana,Pablo Manzano-Urbano Rodríguez,3,2,Despatx,Diccionari,Trea,Castellà;Asturià,,
Cancionero II,Francesco de Petrarca,3,2,Despatx,Poesia,Catedra,Italià;Castellà,,
La divina comedia,Dante Aliguieri,3,2,Despatx,Novel·la,Austral,Castellà,,
La invención Retórica,Ciceró,2,2,Despatx,Retòrica,Gredos,Castellà,,
Sobre el orador,Ciceró,2,2,Despatx,Retòrica,Gredos,Castellà,,
Retórica,Aristóteles,2,2,Despatx,Retòrica,Gredos,Castellà,,
De la Partición Oratoria,Ciceró,2,2,Despatx,Retòrica,Universidad autónoma de Mexico,Castellà,,
Institució Oratòria I,Ciceró,2,2,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí,,
Institució Oratòria II,Ciceró,2,2,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí,,
Institució Oratòria III,Ciceró,2,2,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí,,
Institució Oratòria IV,Ciceró,2,2,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí,,
Institució Oratòria V,Ciceró,2,2,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí,,
Institució Oratòria VI,Ciceró,2,2,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí,,
Institució Oratòria VII,Ciceró,2,2,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí,,
Retòrica Nova,Ramon Llull,2,2,Despatx,Retòrica,Obrador Edendum,Català,,
Retòrica a Herenni,Desconegut o dubtós,2,2,Despatx,Retòrica,Fundació Bernat Metge,Català,,
Retórica a Herenio,Desconegut o dubtós,2,2,Despatx,Retòrica,Gredos,Castellà,,
Sofistas testimonios y fragmentos,Recopilació ,2,2,Despatx,didàctic,Gredos,Castellà,,
Dos tratados de Retórica Epidictica,Menandro el rétor,2,2,Despatx,didàctic,Gredos,Castellà,,
Discursos Políticos III,Demóstenes,2,2,Despatx,didàctic,Gredos,Castellà,,
Bruto,Ciceró,2,2,Despatx,Retòrica,Alianza Editorial,Castellà,,
Odissea I,Homer,2,2,Despatx,Èpica,Fundació Bernat Metge,Català;Grec,,
Odissea II,Homer,2,2,Despatx,Èpica,Fundació Bernat Metge,Català;Grec,,
Odissea III,Homer,2,2,Despatx,Èpica,Fundació Bernat Metge,Català;Grec,,
Odissea IV,Homer,2,2,Despatx,Èpica,Fundació Bernat Metge,Català;Grec,,
Llibre de les Meravelles,Ramon Llull,2,2,Despatx,Novel·la,Edicions 62,Català,,
Llibre d'Evast e Blanquerna,Ramon Llull,2,2,Despatx,Novel·la,Edicions 62,Català,,
El microcosmos Lul·lià,Robert Spring-Mill,2,2,Despatx,didàctic,Moll,Català,,
Llibre de Contemplació,Ramón Llull,2,2,Despatx,Religiós,Barcino,Català,Antologia a càrrec de Josep Rubio Albarrracín,
Lo Desconhort,Ramón Llull,2,2,Despatx,Poesia,Obrador Edendum,Català,,
Cant de Ramon,Ramón Llull,2,2,Despatx,Poesia,Obrador Edendum,Català,,
Poesies,Ramon Llull,2,2,Despatx,Poesia,Enciclopèdia CatalanaCatalà,Català,Recopilació a cura de Josep Romeu i Figueras,
Llibre del gentil e dels tres savis,Ramon Llull,2,2,Despatx,Novel·la,Patronat Ramon LLull (Palma de Mallorca),Català,,
Arte breve,Ramon Llull,2,2,Despatx,didàctic,Eunsa (Universidad de Navarra),Castellà,Traducció de Josep E. Rubio,
Ramon Llull essencial,Pere Villalba,2,2,Despatx,didàctic,La Vanguardia Ediciones,Català,,
Llibre d'Amic i Amat,Ramón Llull,2,2,Despatx,Poesia,Barcino,Català,Edidció crítica d'Albert Soler i Llopart,
Ilíada I,Homer,1,1,Despatx,Èpica,Fundació Bernat Metge,Català;Grec,Cants I - IV,
Ilíada II,Homer,1,1,Despatx,Èpica,Fundació Bernat Metge,Català;Grec,Cants V - VIII,
Ilíada III,Homer,1,1,Despatx,Èpica,Fundació Bernat Metge,Català;Grec,Cants IX - XII,
Comèdies,P. Terenci Afer,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Llatí,Àndria. El botxí de si mateix.,
Les dones de Traquis,Sòfocles,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,,
Antígona,Sòfocles,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,,
Discursos,Isòcrates,1,1,Despatx,Retòrica,Fundació Bernat Metge,Català;Grec,Volum II,
Tragèdies ,Sòfocles,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,Volum IV,
Àiax,Sòfocles,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,Traducció de Carles Riba,
Edip Rei,Sòfocles,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,Traducció de Carles Riba,
Alcestis,Eurípides,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,,
Els set contra Tebes,Èsquil,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,Traducció de Carles Riba,
Prometeu encadenat,Èsquil,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,Traducció de Carles Riba,
Timeu,Plató,1,1,Despatx,Diàlegs,Fundació Bernat Metge,Català;Grec,,
Crítias,Plató,1,1,Despatx,Diàlegs,Fundació Bernat Metge,Català;Grec,,
L'Ase d'Or (Les metamorfosis) I,Apuleu,1,1,Despatx,Novel·la,Fundació Bernat Metge,Català;Llatí,,
L'Ase d'Or (Les metamorfosis) II,Apuleu,1,1,Despatx,Novel·la,Fundació Bernat Metge,Català;Llatí,,
Eneida I,Virgili,1,1,Despatx,Èpica,Fundació Bernat Metge,Català;Llatí,,
Eneida II,Virgili,1,1,Despatx,Èpica,Fundació Bernat Metge,Català;Llatí,,
Eneida III,Virgili,1,1,Despatx,Èpica,Fundació Bernat Metge,Català;Llatí,,
Eneida IV ,Virgili,1,1,Despatx,Èpica,Fundació Bernat Metge,Català;Llatí,,
Les Vespes,Aristòfanes,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,Comèdia,
La Pau,Aristòfanes,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,Comèdia,
