Títol,Autor,Prestatge,Posicio,Habitacio,Tipus,Editorial,Idioma,Notes,
Toy story (Joguines),Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
101 Dàlmates,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
La dama i el rodamon,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
La bella i la bèstia,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Mulan,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Bambi,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Aladdín i el rei dels lladres,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
El rei lleó,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
La sireneta,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
El llibre de la selva,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
La ventafocs,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
El geperut de Notre Dame,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Blancaneus i els 7 nans,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Peter Pan,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Aladdin,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Oliver i companyia,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Pocahontas,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Hèrcules,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Tod i Toby,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Basil el ratolí superdetectiu,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Els aristogats,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Winnie Pooh,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
La bella dorment,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Pinotxo,Walt Disney,29,2,Menjador,Còmic,indeterminat,Anglès,Edició Anglès - Català,
Bambi,Walt Disney,29,2,Menjador,Còmic,Susaeta,Català,,
La rateta que escombrava l'escaleta,Popular,29,2,Menjador,Còmic,Susaeta,Català,,
Les tres bessones i L'Oliver Twist,Roser Capdevila,29,2,Menjador,Còmic,Planeta,Català,,
Les tres bessones i en Pinotxo,Roser Capdevila,29,2,Menjador,Còmic,Planeta,Català,,
Les tres bessones i l'Alí Babà,Roser Capdevila,29,2,Menjador,Còmic,Planeta,Català,,
Una primavera molt especial,Mireia Massó,29,2,Menjador,Còmic,Susaeta,,,
The lonely hare,Junkichi Kanbe,29,2,Menjador,Contes,gakken,Anglès,,
Coleccionistas de arte en Catalunya,Maria Lluïsa Borràs,29,2,Menjador,Divulgatiu,Biblioteca de la Vanguardia,Castellà,,
El arte de comer,Nestor Luján,29,2,Menjador,Divulgatiu,Biblioteca de la Vanguardia,Castellà,,
Ukiyo-e,Gisele Lambert;Jocelyn Brouquillard;Christophe Marquet;Keiki Kosugi,11,2,Despatx,Divulgatiu,Fundació Caixa Catalunya,Català,Catàleg Exposició gravats japonesos,
Historia de la literatura II Tomo I,Equip editorial,11,2,Despatx,Didàctic,Uned,Castellà,,
Historia de la literatura II Tomo II,Equip editorial,11,2,Despatx,Didàctic,Uned,Castellà,,
Semántica y Lexicología de la lengua española,M.ª Victoria Escandell Vidal,11,2,Despatx,Didàctic,Uned,Castellà,,
Linea Diretta 1,Corrado Conforti;Linda Cusimano,11,2,Despatx,Didàctic,Edizioni Guerra,Italià,Curs d'italià,
Linea Diretta 1 (llibre d'exercicis),Corrado Conforti;Linda Cusimano,11,2,Despatx,Didàctic,Edizioni Guerra,Italià,Curs d'italià,
Linea Diretta 1a,Corrado Conforti;Linda Cusimano,11,2,Despatx,Didàctic,Edizioni Guerra,Italià,Curs d'italià,
Linea Diretta 1b,Corrado Conforti;Linda Cusimano,11,2,Despatx,Didàctic,Edizioni Guerra,Italià,Curs d'italià,
Linea diretta (dos cassettes),Corrado Conforti;Linda Cusimano,11,1,Despatx,Curs d'italià,indeterminat,Italià,Curs d'italià,
"Psicologia, tècniques de venda i negociació",indeterminat,11,1,Despatx,Didàctic,indeterminat,Català,,
Obra completa de Sor Juana Inés de la Cruz,Sor Juana Inés de la Cruz,11,1,Despatx,Didàctic,indeterminat,Castellà,Llibreta amb espirall,
Apunts de Filologia Hispànica,indeterminat,11,1,Despatx,Didàctic,indeterminat,Castellà,Cartró blau,
El señor y lo demás son cuentos,Leopoldo Alas Clarín,11,1,Despatx,Novel·la,Manuel Fernández i Lasanta,Castellà,Enquadernat per mi,
Canciones,Garcilaso de la Vega,11,1,Despatx,Poesia,indeterminat,Castellà,Enquadernat per mi,
Llibre blanc de la transició nacional de Catalunya (síntesi),indeterminat,11,1,Despatx,documentació,indeterminat,Català,Document històric,
Noches lúgubres,José Cadalso,11,1,Despatx,Novel·la,Indeterminat,Castellà,papers impresos,
Literatura Hispanoamericana II (apunts),indeterminat,11,1,Despatx,Apunts,indeterminat,Castellà,Enquadernat per mi,
Literatura Hispanoamericana I (Guía didàctica),indeterminat,11,1,Despatx,Apunts,indeterminat,Castellà,Enquadernat per mi,
Crítica literaria (guía Didàctica),indeterminat,11,1,Despatx,Apunts,indeterminat,Castellà,Enquadernat per mi,
Gramática española II (Guía didáctica),María Luz Gutierrez Araus,11,1,Despatx,Apunts,indeterminat,Castellà,Enquadernat per mi,
Historia de la lengua española,indeterminat,11,1,Despatx,Apunts,indeterminat,Castellà,Enquadernat per mi,
Literatura Hispanoamericana,indeterminat,11,1,Despatx,Apunts,indeterminat,Castellà,Enquadernat per mi,
"Lingüística, lecturas recomendadas para preparar los temas de fonética, fonología, y morfología generales",Doctora Gil,11,1,Despatx,Apunts,indeterminat,Castellà,Enquadernat per mi,
Manual de gramática histórica española,Ramon Menéndez Pidal,11,1,Despatx,Apunts,Espasa Calpe,Castellà,Enquadernat per mi,
Soledades,Luis de Góngora y Argote,11,1,Despatx,Poesia,indeterminat,Castellà,Enquadernat per mi,
Fábula de Polifemo y Galatea,Luis de Góngora y Argote,11,1,Despatx,Poesia,indeterminat,Castellà,Enquadernat per mi,
Rebut i documentació del títol de Dret de l'Enric,Enric Galceran,11,1,Despatx,documentació,indeterminat,Castellà,Carpeta de cartulina,
Las troyanas,Eurípides,11,1,Despatx,Teatre,indeterminat,Castellà,en plàstic,
"Gramática, les oracions apunts de tot el curs",indeterminat,11,1,Despatx,Apunts,indeterminat,Castellà,Vint temes,
La instrucción gramatical en el enfoque comunicativo,María Luz Gutierrez Araus,11,1,Despatx,Apunts,indeterminat,Castellà,Enquadernat per mi,
Infortunios,Alonso Ramírez,11,1,Despatx,Novel·la,indeterminat,Castellà,Enquadernat per mi,
Poesías,Don Juan del Valle y Caviedes,11,1,Despatx,Poesia,indeterminat,Castellà,Clàsic peruà època colonial espanyola enquadernat per mi,
Coloquios Espirituales y sacramentales y Poesías Sagradas,Fernán González de Eslava,11,1,Despatx,Teatre,indeterminat,Castellà,"Teatre poètic, enquadernat per mi",
Cantos e vida y esperanza,Rubén Darío,11,1,Despatx,Poesia,indeterminat,Castellà,Enquadernat per mi,
El lazarillo de ciegos caminantes,Concolorcorvo (pseudònim),11,1,Despatx,Novel·la,indeterminat,Castellà,"Autor: alonso Carrió de la Vandera, indi que l'acompanyava era Calixto Bustamante Carlos",
Introducció a l'obra d'Ausias March,Lola Badia,11,1,Despatx,Assaig,indeterminat,Català,,
Oratòria,indeterminat,11,1,Despatx,Didàctic,indeterminat,Castellà,Roma repúblicana,
Recursos estilísticos,indeterminat,11,1,Despatx,Didàctic,indeterminat,Castellà,,
Literatura española medieval,Josep Giralt Torres,11,1,Despatx,Didàctic,indeterminat,Castellà,Esquemes/resums de les lectures obligatòries,
El quadern gris,Josep Pla,12,1,Despatx,Novel·la,Destino,Català,,
Les trobaitriz,Magda Bogin,12,1,Despatx,Poesia,Horsori,Català,Català-Occità,
Antología poética,Vicent Andrés Estellés,12,1,Despatx,Poesia,Proa,Català,A cura d'Isabel Soler,
Noves poesies,Miquel Costa i Llobera,12,1,Despatx,Poesia,Moll,Català,,
Auques i Ventalls,Josep Carner,12,1,Despatx,Poesia,Edicions 62,Català,A cura de Joan Ferraté,
Crònica o Llibre dels Feits,Jaume I,12,1,Despatx,Història,Edicions 62,Català,A cura de Ferran Soldevila,
La vida de Llàtzer de Tormos,Jordi Bilbeny,12,1,Despatx,Assaig,Llibre d'Índex,Català,,
Lo somni,Bernat Metge,12,1,Despatx,Novel·la,Quaderns crema,Català,A cura de Lola Badia,
Llibre dels Fets (conquesta de València),Jaume I,12,1,Despatx,Història,Tres i Quatre,Català,A cura de Victor G Labrado,
El orador,Ciceron,12,1,Despatx,Didàctic,Alianza Editorial,Castellà,,
El orador,Ciceron,12,1,Despatx,Didàctic,Alianza Editorial,Castellà,repetit,
Imitació del foc,Bartomeu Rosselló-Pòrcel,12,1,Despatx,Poesia,edicions 62,Català,Edició Josep Mª Balaguer,
L'irradiador del port i les gavines,Joan Salvat-Papasseit,12,1,Despatx,Poesia,Proa,Català,A cura de Ferran Gadea,
Antología de posia catalana,indeterminat,12,1,Despatx,Poesia,Proa,Català,A cura d'Isidor Consul i Llorenç Soldevila,
Cançons de rem i de vela,Josep Maria de Segarra,12,1,Despatx,Poesia,Hermes,Català,Edició a cura de Roser Armengol,
Antologia poètica,Jacint Verdaguer,12,1,Despatx,Poesia,Selecta,Català,Tria i pròleg de Carles Riba,
"El convit del Tirant, cuina i comensualitat de l'Edat Mitjana a Ferran Adrià",Jaume Fàbrica,12,1,Despatx,Assaig,Pagès,Català,,
Sermons,Sant Vicent Ferrer,12,1,Despatx,Assaig,Teide,Català,A cura de Xavier Renedo i Lluís Cabré,
De l'amor als vells,indeterminat,12,1,Despatx,Poesia,Biblioteca Popular,Català,,
Versos humorístics catalans,indeterminat,12,1,Despatx,Poesia,Biblioteca Popular,Català,,
On he deixat les claus,J.V. Foix,12,1,Despatx,Poesia,Quaderns crema,Català,A cura de Jaume Vallcorba,
La Celestina,Fernándo de Rojas (atribuït),12,1,Despatx,Novel·la,Castalia,Castellà,,
Poesía castellana original completa,Fernando de Herrera,12,1,Despatx,Poesia,Cátedra,Castellà,Edición de Cristobal Cuevas,
El salze sec i la dona adormida,Haruki Murakami,12,1,Despatx,Contes,Empúries,Català,,
Metafísica,Aristóteles,12,2,Despatx,Assaig,Sarpe,Castellà,,
Diccionari de la rima,Sussanna Rafart i Corominas,12,1,Despatx,Diccionari,Edicions 62,Català,,
Antologia poètica,Joan Maragall,12,1,Despatx,Poesia,Edicions 62,Català,A cura d'Arthur Terry,
Sobre literatura,Gabriel Ferrater,12,1,Despatx,Assaig,Edicions 62,Català,,
Santa Eularia,Jacint Verdaguer,12,1,Despatx,Poesia,llibreria catalonia,Català,VolumVI de les obres completes (1933),
Roser de tot l'any,Jacint Verdaguer,12,1,Despatx,Poesia,llibreria catalonia,Català,VolumVI de les obres completes (1933),
Veus del Bon Pastor,Jacint Verdaguer,12,1,Despatx,Poesia,llibreria catalonia,Català,VolumVI de les obres completes (1933),
Caritat,Jacint Verdaguer,12,1,Despatx,Poesia,llibreria catalonia,Català,VolumVI de les obres completes (1933),
Relatos,Rulfo,12,1,Despatx,Novel·la,Alianza Editorial,Castellà,,
Immigració i sobirania,Diego Arcos i Xavier Elias,12,1,Despatx,Assaig,Veunova,Català,,
Els núvols,Aristòfanes,12,1,Despatx,Teatre,La Magrana,Català,A cura de Mercè Valls,
Conjuración de Catilina,C. Salustio Crispo,12,1,Despatx,Història,Bosch,Castellà,Castellà-Llatí,
La lengua de Cristóbal Colón,Ramón Menéndez Pidal,12,1,Despatx,Assaig,Espasa Calpe,Castellà,,
La verdad sobre el caso Savolta,Eduardo Mendoza,12,1,Despatx,Novel·la,Seix Barral,Castellà,,
De Amicitia,Ciceron,12,1,Despatx,Assaig,Gredos,Castellà,Llatí-Castellà,
Lazarillo de Tormes,anònim,12,1,Despatx,Novel·la,Salvat,Castellà,,
Contra la monarquia,Matthew Tree,12,1,Despatx,Assaig,Ara llibres,Català,,
Assaigs (llibre primer),Michel de Montaigne,12,1,Despatx,Assaig,Proa,Català,,
Assaigs (llibre segon),Michel de Montaigne,12,1,Despatx,Assaig,Proa,Català,,
Defensa de Marco Marcelo,Ciceron,12,1,Despatx,Assaig,Bosch,Castellà,Castellà-Llatí,
Antoni i Cleopatra,Shakespeare,12,1,Despatx,Teatre,Bruguera,Català,Traducció de Josep Mª de segarra,
L'atles furtiu,Alferd Bosch,12,1,Despatx,Novel·la,Columna,Català,,
El millor dels mons,Quim Monzó,12,1,Despatx,Novel·la,Quaderns crema,Català,,
Tots els noms,José Saramago,12,1,Despatx,Novel·la,Edicions 62,Català,,
El banquete/Fedro,Plató,12,1,Despatx,Assaig,Sarpe,Castellà,,
Plan general de contabilidad (2010),Equip editorial,12,2,Despatx,Didàctic,CEF,Castellà,,
Finanzas y presupuestos (interpretación y elaboración),Equip editorial,12,2,Despatx,Didàctic,CEF,Castellà,  cxzº,   -*/
La desintegració d'Espanya i les idees de Toynbee,Josep Maria Batista i Roca,12,2,Despatx,Assaig,El llamp,Català,,
La força dels arguments (des del nacionalisme progressista),Santiago Cucurella,12,2,Despatx,Assaig,El llamp,Català,,
La paraula contra el mur,Victor Alexandre,12,2,Despatx,Assaig,La busca,Català,,
Dioses tumbas i sabios,C.W.Ceram,12,2,Despatx,Assaig,Destino,Castellà,,
Biografia de Mercè Rodoreda,Carme Arnau,12,2,Despatx,Assaig,Edicions 62,Català,,
Cuando ardieron los volcanes,André Lorenzo Curbelo (cura de Yaiza),12,2,Despatx,Història,Yaiza,Castellà,Relat de les erupcions a Lanzarote de 1730 a 1736,
"Groucho i Chico, advocats",Germans Marx,12,2,Despatx,Contes,Columna,Català,Guions radiofònics,
"Francesc Macià, el camí de la llibertat (1905-1931)",Enric Jardí,12,2,Despatx,Assaig,Aymà,Català,,
Figures de calidoscopi,Ramon Solsona,12,2,Despatx,Novel·la,Quaderns crema,Català,,
Cuentos paralelos,Issaac Asimov,12,2,Despatx,Novel·la,Martinez Roca,Castellà,,
Guerra tibia,Diversos,12,2,Despatx,Ciència Ficció,Forum,Castellà,,
Dune,Frank Herbert,12,2,Despatx,Ciència Ficció,Alpha Science Fiction,Castellà,,
Transplante obligatorio,C.G.Waugh;Martin Greenberg,12,2,Despatx,Ciència Ficció,Martinez Roca,Castellà,,
Relatos 1,irrellevant,12,2,Despatx,Ciència Ficció,Martinez Roca,Castellà,,
Relatos 2,irrellevant,12,2,Despatx,Ciència Ficció,Martinez Roca,Castellà,,
Relatos 3,irrellevant,12,2,Despatx,Ciència Ficció,Martinez Roca,Castellà,,
Relatos 4,irrellevant,12,2,Despatx,Ciència Ficció,Martinez Roca,Castellà,,
En la arena estelar,Issaac Asimov,12,2,Despatx,Ciència Ficció,Martinez Roca,Castellà,,
El hombre del bicentenario,Issaac Asimov,12,2,Despatx,Ciència Ficció,Martinez Roca,Castellà,,
"Pau Claris, la revolta catalana",Ricard García Carcel,12,2,Despatx,Assaig,Dopesa,Català,,
"Galceran, l'heroi de la guerra negra",Jaume Cabré,12,2,Despatx,Novel·la,El nus,Català,,
Mecanoscrit del segon origen,Manuel de Pedrolo,12,2,Despatx,Novel·la,Edicions 62,Català,,
Romancero Gitano,Federico García Lorca,12,2,Despatx,Poesia,Losada,Castellà,,
Regreso a las estrellas,Erich von Daniken,12,2,Despatx,Assaig,Plaza y Janés,Castellà,,
En el pais de los mayas,Pierre Ivanoff,12,2,Despatx,Assaig,Manatial,Castellà,,
El tercer ojo,T. Lobsang Rampa,12,2,Despatx,Novel·la,Destino,Castellà,,
Historia de España,Pierre Vilar,12,2,Despatx,Didàctic,Club de bolsillo,Castellà,,
Entre lèspanya i la paret,Xavier Roig,12,2,Despatx,Assaig,La Campana,Català,,
Jo no sóc espanyol,Victor Alexandre,12,2,Despatx,Assaig,Proa,Català,,
Els espanyols no són catalans,Francesc Ferrer Gironès,12,2,Despatx,Assaig,El llamp,Català,,
Compèndi d'Història de Catalunya,Antoni Ferret,12,2,Despatx,Història,Claret,Català,,
Catalunya vista per un alemany,Til Stegman,12,2,Despatx,Assaig,La Campana,Català,,
Catalunya sota Espanya,Alfons López Tena,12,2,Despatx,Assaig,La Magrana,Català,,
Despullant Espanya,Victor Alexandre,12,2,Despatx,Assaig,Proa,Català,,
La cosmología catalana,Ferran Margarit,12,2,Despatx,Assaig,Cedel,Català,,
Mirall trencat,Mercè Rodoreda,12,2,Despatx,Novel·la,Club editor Jove,Català,repetit,
Gràcies per la propina,Ferran Torrent,12,2,Despatx,Novel·la,Columna,Català,,
Demà a les tres de la matinada,Pere Calders,12,2,Despatx,Novel·la,Edicions 62,Català,,
Crònica de la independència,Patrícia Gabancho,12,2,Despatx,Novel·la,L'arquer,Català,,
Gran ética,Aristóteles,12,2,Despatx,Assaig,Sarpe,Castellà,,
Història de la vida del Buscón,Francisco de Quevedo,12,2,Despatx,Novel·la,Sarpe,Castellà,,
Vidas paralelas Teseo-Ròmulo i Licurgo-Numa,Plutarc,12,2,Despatx,Assaig,Gredos,Castellà,,
Anàbasis,Xenofont,12,2,Despatx,Història,Gredos,Castellà,,
El asno de oro,Apuleyo,12,2,Despatx,Novel·la,Gredos,Castellà,,
Arte abstracto y figurativo,Equip editorial,12,2,Despatx,Assaig,Salvat,Castellà,,
la llibreta groga,Robert Saladrigas,12,2,Despatx,Novel·la,Destino,Català,,
El Llibre de les Mosques,Emili Teixidor,12,2,Despatx,Novel·la,Proa,Català,,
El metal impur,Julià de Jodar,12,2,Despatx,Novel·la,Proa,Català,,
Història de Catalunya (modèstia a part),Toni Soler,12,2,Despatx,Assaig,Columna,Català,,
No digas que fue un sueño,Terenci Moix,12,2,Despatx,Novel·la,Planeta,Castellà,,
Del amor,Stendhal,12,2,Despatx,Novel·la,Alianza Editorial,Castellà,També Amor en Stendhal dÒrtega y Gasset,
Los guanches que sobrevivieron a su descendencia,José Luis Concepción,12,2,Despatx,Assaig,Asociación cultural de las islas Canarias,Castellà,,
Que vols ser quan siguis gran?,Jordi Sacristán,12,2,Despatx,Novel·la,Rosa dels vents,Català,,
Dialectología y sociolingüìstica españolas,Francisco Gimeno Menéndez,12,1,Despatx,Didàctic,Espagràfic (edición electrónica),Castellà,Universitat d'Alacant imprès i enquadernat amb espirall,
Historia de la literatura española tomo III,Juan Luis Alborg,12,1,Despatx,Didàctic,Gredos,Castellà,Capítols enquadernats amb espirall,
Historia de la literatura española tomo IV,Juan Luis Alborg,12,1,Despatx,Didàctic,Gredos,Castellà,Capítols enquadernats amb espirall,
Helénicas,Xenofont,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Ciropedia,Xenofont,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Odas,Píndar,33,1,Gemma/Pol ,Poesia,Gredos,Castellà,,
Odas,Baquílides,33,1,Gemma/Pol ,Poesia,Gredos,Castellà,,
Lírica,Safo,33,1,Gemma/Pol ,Poesia,Gredos,Castellà,,
Lírica,Poetes arcaics,33,1,Gemma/Pol ,Poesia,Gredos,Castellà,,
Guerra del Peloponeso I,Tucídides,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Guerra del Peloponeso II,Tucídides,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Guerra del Peloponeso III,Tucídides,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Guerra del Peloponeso IV,Tucídides,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Historia I,Heròdot,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Historia II,Heròdot,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Historia III,Heròdot,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Historia IV,Heròdot,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Historia V,Heròdot,33,1,Gemma/Pol ,Història,Gredos,Castellà,,
Els Homes que no estimaven les dones,Stieg Larsson,33,1,Gemma/Pol ,Novel·la,Columna,Català,,
Llibres en Japonès i diversos de la Gemma,indeterminat,33,1,Gemma/Pol ,Diversos,indeterminat,indeterminat,,
Per què els homes no escolten i les dopnes no entenen els mapes,Allan i Barbara Pease,42,1,Marc habitació,Assaig,Amat,Català,,
Harry Potter i la pedra filosofal,J.K.Rowling,42,1,Marc habitació,Novel·la,Empúries,Català,,
Harry Potter i la cambra secreta,J.K.Rowling,42,1,Marc habitació,Novel·la,Empúries,Català,,
Harry Potter i el pres d'Azkaban,J.K.Rowling,42,1,Marc habitació,Novel·la,Empúries,Català,,
Harry Potter i el calze de foc,J.K.Rowling,42,1,Marc habitació,Novel·la,Empúries,Català,,
Harry Potter i l'orde del Fènix,J.K.Rowling,42,1,Marc habitació,Novel·la,Empúries,Català,,
Harry Potter i el misteri del Princep,J.K.Rowling,42,1,Marc habitació,Novel·la,Empúries,Català,,
Harry Potter i les relíquies de la Mort,J.K.Rowling,42,1,Marc habitació,Novel·la,Empúries,Català,,
Apuntes de Semántica léxica,Mª Victoria Escandell Vidal,42,1,Marc habitació,Didàctic,Uned,Castellà,,
Fundamentos de Semántica composicional,Mª Victoria Escandell Vidal,42,1,Marc habitació,Didàctic,Ariel lingüística,Castellà,,
Historia de la literatura italiana,Giuseppe Petronio,42,1,Marc habitació,Didàctic,Cátedra,Castellà,,
Gramática sucinta de la lengua italiana,Luigi Pavia,42,1,Marc habitació,Didàctic,Herder,Castellà,,
Orlando furioso I,Ludovic Ariosto,42,1,Marc habitació,Novel·la,Cátedra,Castellà,Bilingüe Castellà-Italià,
Orlando furioso II,Ludovic Ariosto,42,1,Marc habitació,Novel·la,Cátedra,Castellà,Bilingüe Castellà-Italià,
Los novios,Alessandro Manzoni,42,1,Marc habitació,Novel·la,Cátedra,Castellà,,
Decamerón,Giovanni Boccaccio,42,1,Marc habitació,Contes,Cátedra,Castellà,,
Poesía española,Recopilació,42,1,Marc habitació,Didàctic,Crítica,Castellà,Edición de Fernando Gómez Redondo,
Historia de la literatura griega,C.M.Bowra,42,1,Marc habitació,Didàctic,Fondo de la cultura económica,Castellà,,
Ley de enjuiciamiento criminal,indeterminat,42,1,Marc habitació,Didàctic,Bosch,Castellà,1988,
Ley orgánica del poder judicial,indeterminat,42,1,Marc habitació,Didàctic,Bosch,Castellà,1988,
Legislación social básica,indeterminat,42,1,Marc habitació,Didàctic,Civitas,Castellà,1992,
Código civil;derecho foral de Aragón;Compilación especial de Cataluña,indeterminat,42,1,Marc habitació,Didàctic,Segura,Castellà,1975,
Código de comercio y leyes complementarias,indeterminat,42,1,Marc habitació,Didàctic,Civitas,Castellà,1984,
Código de comercio y leyes complementarias,indeterminat,42,1,Marc habitació,Didàctic,Civitas,Castellà,1981,
legislación sobre Registro Civil,indeterminat,42,1,Marc habitació,Didàctic,Civitas,Castellà,1977,
Enjuiciamiento civil,indeterminat,42,1,Marc habitació,Didàctic,Civitas,Castellà,1987,
Ley y reglamento del I.V.A.,indeterminat,42,1,Marc habitació,Didàctic,Il·lustre Col·legi d'advocats de Barcelona,Castellà,1985,
Real decret legislatiu pel qual s'aprova el text refós de la llei de l'estatut dels treballadors,indeterminat,42,1,Marc habitació,Didàctic,Il·lustre Col·legi d'advocats de Barcelona,Castellà,1995,
Modificación del código civil y de la ley de enjuiciamiento civil en materia de adopción,indeterminat,42,1,Marc habitació,Didàctic,Il·lustre Col·legi d'advocats de Barcelona,Castellà,1987,
"Legislación laboral de deportistas, alta dirección, servicio del hogar, artostas, representantes de comercio",indeterminat,42,1,Marc habitació,Didàctic,Il·lustre Col·legi d'advocats de Barcelona,Castellà,1985,
Ley de sociedades de responsabilidad limitada,indeterminat,42,1,Marc habitació,Didàctic,Il·lustre Col·legi d'advocats de Barcelona,Castellà,1995,
Ley de patentes,indeterminat,42,1,Marc habitació,Didàctic,Il·lustre Col·legi d'advocats de Barcelona,Castellà,1986,
"Declaració ideològica, Estatuts, carta financera i codi ètic d'ERC",indeterminat,42,1,Marc habitació,Didàctic,ERC,Català,1999,
"Assaigs (llibre primer, segon i tercer)",Michel de Montaigne,42,1,Despatx,Assaig,Proa,Català,El llibres primer i segon estan repetits al prestatge 12,
Manga,indeterminat,34,1,Gemma/Pol ,Còmic,indeterminat,Japonès,mangas diversos,
Angelology,Danielle Trussoni,34,2,Gemma/Pol ,Novel·la,Penguin books,Anglès,,
The Goldfinch,Conna Tartt,34,2,Gemma/Pol ,Novel·la,Abacus,Anglès,,
The Historian I,Elisabeth Kostova,34,2,Gemma/Pol ,Novel·la,Fukuda,Japonès,,
L'ombra del vent,Carlos Ruiz Zafón,34,2,Gemma/Pol ,Novel·la,Planeta,Català,,
El juego del ángel,Carlos Ruiz Zafón,34,2,Gemma/Pol ,Novel·la,Planeta,Castellà,,
Los juegos del hambre,Suzanne Collins,34,2,Gemma/Pol ,Novel·la,Molino,Castellà,,
Los juegos del hambre En llamas,Suzanne Collins,34,2,Gemma/Pol ,Novel·la,Molino,Castellà,Segon llibre de la serie,
Los juegos del hambre Sinsajo,Suzanne Collins,34,2,Gemma/Pol ,Novel·la,Molino,Castellà,Tercer llibre de la serie,
El alma está en el cerebro,Eduard Punset,35,1,Gemma/Pol ,Assaig,Punto de lectura,Castellà,,
K.L.Reich,Joaquim Amat-Piniella,35,1,Gemma/Pol ,Novel·la,Club editor Jove,Català,,
Drames rurals,Victor català,35,1,Gemma/Pol ,Novel·la,Edicions 62,Català,,
Mecanoscrit del segon origen,Manuel de Pedrolo,35,1,Gemma/Pol ,Novel·la,Edicions 62,Català,repetit prestatge 12,
Lazarillo de tormes,anònim,35,1,Gemma/Pol ,Poesia,Vicens Vives,Castellà,,
Poesía,Antoni Machado,35,1,Gemma/Pol ,Poesia,Vicens Vives,Castellà,,
Poesía española (clásicos hispánicos),Equip editorial,35,1,Gemma/Pol ,Poesia,Vicens Vives,Castellà,,
Negra nit,Lolita Bosch,35,1,Gemma/Pol ,Novel·la,Columna,Català,,
El cementerio de los ingleses,José María Mendiola,35,1,Gemma/Pol ,Novel·la,Edebé,Castellà,,
Ideas de bombero,Andreu Martín,35,1,Gemma/Pol ,Novel·la,Edebé,Castellà,,
Tres sombreros de copa,Miguel Mihura,35,1,Gemma/Pol ,Teatre,Cátedra,Castellà,,
El árbol de la ciencia,Pío Caro Baroja,35,1,Gemma/Pol ,Novel·la,Cátedra,Castellà,,
Mecanoscrit del segon origen,Manuel de Pedrolo,35,1,Gemma/Pol ,Novel·la,Edicions 62,Català,repetit prestatges 12 i 35,
Nada,Carmen Laforet,35,1,Gemma/Pol ,Novel·la,Destino,Castellà,,
Còctel de contes,Recopilació,35,1,Gemma/Pol ,Contes,Proa,Català,,
Tirant lo blanch (text adaptat),Joanot Martorell,35,1,Gemma/Pol ,Novel·la,Proa,Català,repetit prestatges 7 i 10,
La bogeria,Narcís Oller,35,1,Gemma/Pol ,Novel·la,Proa,Català,,
Plenilunio,Antonio Muñoz Molina,35,1,Gemma/Pol ,Novel·la,Punto de lectura,Castellà,,
El Hereje,Miguel Delibes,35,1,Gemma/Pol ,Novel·la,Destino,Castellà,,
Reckles,Cornelia Funke,35,2,Gemma/Pol ,Novel·la,Estrella Polar,Català,,
